UserID,ChargerCompany,ChargerType,StartHour,StartDayOfWeek,IsWeekend,Duration,Demand
95,1,0,22,4,0,251,29.7
95,1,0,4,5,1,243,28.6
95,1,0,22,5,1,246,29.1
95,1,0,4,6,1,97,11.4
95,1,0,13,6,1,80,9.4
95,1,0,21,6,1,235,27.7
95,1,0,15,0,0,86,10.2
95,1,0,22,0,0,248,29.2
95,1,0,7,1,0,55,6.5
95,1,0,14,1,0,86,10.1
95,1,0,22,1,0,459,53.8
95,1,0,22,2,0,458,52.9
95,1,0,15,3,0,124,14.7
95,1,0,23,3,0,482,55.3
95,1,0,14,4,0,106,12.4
95,1,0,22,5,1,159,18.6
95,1,0,4,6,1,105,12.2
95,1,0,21,6,1,282,33.1
95,1,0,13,0,0,107,12.6
95,1,0,22,0,0,414,48.5
95,1,0,23,1,0,522,61.6
95,1,0,21,2,0,262,31.0
95,1,0,15,3,0,66,7.7
95,1,0,22,3,0,420,48.6
95,1,0,20,4,0,373,43.6
95,1,0,14,5,1,85,10.0
95,1,0,20,5,1,178,21.0
95,1,0,11,6,1,113,13.3
95,1,0,19,6,1,316,37.6
95,1,0,12,0,0,151,17.8
95,1,0,21,0,0,245,29.0
95,1,0,23,1,0,501,58.9
95,1,0,21,2,0,396,46.7
95,1,0,13,3,0,166,19.4
95,1,0,22,3,0,236,27.8
95,1,0,14,4,0,146,17.2
95,1,0,23,4,0,400,47.6
95,1,0,21,5,1,363,42.2
95,1,0,21,6,1,378,44.2
95,1,0,20,0,0,247,29.2
95,1,0,21,1,0,366,43.7
95,1,0,22,2,0,420,45.59
95,1,0,21,3,0,341,40.5
95,1,0,21,4,0,416,49.5
95,1,0,20,5,1,281,33.4
95,1,0,14,6,1,117,13.9
95,1,0,21,6,1,239,28.39
95,1,0,23,0,0,273,32.1
95,1,0,13,1,0,160,18.7
95,1,0,22,1,0,280,33.4
95,1,0,22,2,0,387,46.5
95,1,0,20,3,0,79,36.9
95,1,0,22,4,0,414,49.0
95,1,0,20,5,1,397,46.9
95,1,0,21,6,1,390,45.9
95,1,0,21,1,0,321,38.3
95,1,0,23,2,0,439,51.8
95,1,0,20,3,0,271,31.9
95,1,0,22,4,0,353,41.8
95,1,0,20,5,1,311,37.1
95,1,0,22,6,1,296,35.2
95,1,0,0,1,0,433,51.2
95,1,0,0,2,0,488,57.3
95,1,0,20,2,0,201,23.8
95,1,0,23,3,0,404,48.1
95,1,0,0,5,1,460,54.2
95,1,0,23,5,1,343,40.7
95,1,0,0,0,0,437,51.9
95,1,0,23,0,0,362,42.9
95,1,0,0,2,0,390,46.6
95,1,0,21,2,0,304,35.7
95,1,0,22,3,0,384,45.0
95,1,0,21,4,0,254,30.1
95,1,0,21,5,1,301,35.4
95,1,0,22,6,1,391,46.2
95,1,0,23,0,0,278,32.7
95,1,0,22,1,0,114,13.4
95,1,0,23,3,0,424,50.0
95,1,0,23,4,0,365,43.5
95,1,0,0,6,1,457,54.3
95,1,0,22,6,1,296,34.9
95,1,0,20,0,0,209,24.6
95,1,0,21,1,0,337,40.1
95,1,0,20,2,0,271,32.3
95,1,0,21,3,0,298,35.3
95,1,0,21,4,0,302,36.0
95,1,0,15,6,1,126,14.9
95,1,0,22,6,1,435,51.5
95,1,0,14,0,0,113,13.3
95,1,0,20,0,0,163,19.3
95,1,0,12,1,0,162,19.2
95,1,0,1,2,0,273,32.4
95,1,0,23,2,0,382,45.6
95,1,0,22,4,0,378,44.9
95,1,0,23,5,1,345,40.7
95,1,0,17,6,1,128,15.2
95,1,0,23,0,0,377,44.8
95,1,0,22,1,0,375,44.6
95,1,0,14,2,0,70,8.2
95,1,0,23,2,0,288,34.6
95,1,0,23,3,0,377,44.4
95,1,0,20,4,0,304,36.3
95,1,0,23,5,1,368,43.5
95,1,0,13,0,0,103,12.2
95,1,0,0,1,0,415,48.6
95,1,0,22,1,0,355,42.0
95,1,0,23,2,0,313,37.5
95,1,0,23,3,0,365,43.8
95,1,0,22,4,0,423,50.0
95,1,0,22,5,1,353,41.9
95,1,0,20,6,1,300,35.5
95,1,0,0,1,0,440,52.7
95,1,0,0,2,0,431,51.6
95,1,0,16,2,0,197,23.2
95,1,0,1,3,0,178,21.1
95,1,0,19,3,0,302,35.8
95,1,0,13,4,0,91,10.8
95,1,0,20,4,0,370,44.2
95,1,0,14,5,1,37,4.4
95,1,0,20,5,1,282,33.6
95,1,0,22,6,1,358,42.8
95,1,0,20,0,0,330,39.0
95,1,0,15,1,0,154,18.2
95,1,0,23,1,0,220,26.1
95,1,0,22,2,0,377,44.8
95,1,0,22,3,0,359,42.8
95,1,0,22,4,0,331,39.5
95,1,0,22,5,1,345,41.2
95,1,0,20,6,1,331,39.4
95,1,0,17,0,0,196,23.2
95,1,0,21,1,0,380,45.9
95,1,0,23,2,0,419,49.7
95,1,0,16,3,0,183,21.5
95,1,0,0,4,0,224,26.6
95,1,0,16,4,0,66,7.9
95,1,0,15,5,1,131,15.5
95,1,0,0,6,1,842,16.2
95,1,0,14,6,1,30,3.5
95,1,0,0,0,0,159,18.7
95,1,0,12,0,0,106,12.7
95,1,0,0,1,0,357,42.1
95,1,0,14,1,0,97,11.5
95,1,0,0,2,0,319,38.2
95,1,0,21,2,0,300,35.6
95,1,0,14,3,0,175,20.6
95,1,0,6,4,0,100,11.7
95,1,0,15,4,0,81,9.4
95,1,0,23,4,0,309,36.5
95,1,0,20,5,1,331,39.2
95,1,0,15,6,1,142,16.7
95,1,0,23,6,1,218,25.7
95,1,0,22,0,0,242,28.8
95,1,0,19,1,0,344,40.7
95,1,0,13,2,0,71,8.4
95,1,0,22,2,0,253,29.9
95,1,0,22,3,0,285,34.1
95,1,0,22,4,0,380,45.1
95,1,0,17,5,1,86,10.0
95,1,0,23,5,1,244,28.9
95,1,0,22,6,1,318,37.8
95,1,0,12,0,0,144,16.9
95,1,0,23,0,0,265,31.6
95,1,0,16,1,0,138,16.2
95,1,0,0,2,0,282,33.5
95,1,0,23,2,0,409,49.0
95,1,0,20,3,0,279,33.4
95,1,0,16,4,0,128,15.2
95,1,0,23,4,0,312,36.9
95,1,0,22,5,1,321,38.3
95,1,0,22,6,1,537,63.2
95,1,0,13,0,0,147,17.1
95,1,0,22,0,0,203,24.2
95,1,0,21,1,0,312,37.1
95,1,0,20,2,0,605,12.6
95,1,0,23,3,0,386,45.7
95,1,0,14,4,0,75,8.8
95,1,0,21,4,0,282,33.5
95,1,0,14,5,1,622,9.6
95,1,0,1,6,1,374,44.4
95,1,0,18,6,1,195,22.9
95,1,0,23,0,0,374,44.7
95,1,0,21,1,0,365,43.4
95,1,0,23,2,0,636,31.7
95,1,0,14,3,0,72,8.5
95,1,0,20,3,0,517,55.9
95,1,0,23,4,0,458,49.0
95,1,0,18,5,1,328,34.7
95,1,0,23,6,1,642,29.9
95,1,0,12,0,0,107,11.3
95,1,0,21,0,0,336,36.3
95,1,0,21,1,0,406,43.4
95,1,0,17,3,0,116,12.4
95,1,0,23,3,0,434,46.6
95,1,0,23,4,0,350,37.7
95,1,0,18,5,1,138,14.6
95,1,0,23,5,1,247,26.3
95,1,0,21,6,1,414,44.4
95,1,0,12,0,0,159,16.8
95,1,0,22,0,0,637,2.5
95,1,0,14,1,0,575,9.4
95,1,0,23,1,0,416,44.3
95,1,0,15,2,0,105,11.0
95,1,0,8,3,0,186,19.4
95,1,0,17,3,0,167,17.7
95,1,0,1,4,0,387,41.2
95,1,0,13,4,0,206,21.59
95,1,0,1,5,1,232,24.8
95,1,0,17,5,1,115,12.1
95,1,0,23,5,1,378,15.9
95,1,0,21,6,1,335,35.8
95,1,0,21,0,0,306,32.6
95,1,0,17,1,0,156,16.8
95,1,0,0,2,0,430,45.79
95,1,0,23,2,0,264,28.3
95,1,0,20,3,0,318,34.0
95,1,0,13,4,0,191,20.2
95,1,0,23,4,0,223,23.7
95,1,0,14,5,1,174,18.3
95,1,0,2,6,1,231,12.5
95,1,0,12,6,1,219,23.2
95,1,0,1,0,0,452,10.3
95,1,0,9,0,0,52,5.5
95,1,0,13,0,0,200,21.19
95,1,0,1,1,0,462,49.4
95,1,0,15,1,0,151,16.0
95,1,0,2,2,0,402,43.3
95,1,0,18,2,0,73,7.9
95,1,0,23,2,0,416,44.6
95,1,0,15,3,0,65,7.3
95,1,0,0,4,0,511,54.6
95,1,0,14,4,0,58,6.2
95,1,0,22,4,0,402,42.89
95,1,0,13,5,1,99,10.4
95,1,0,0,6,1,319,34.0
95,1,0,16,6,1,97,10.2
95,1,0,23,6,1,321,34.5
95,1,0,15,0,0,190,20.0
95,1,0,0,1,0,287,30.9
95,1,0,14,1,0,137,14.3
95,1,0,23,1,0,451,48.3
95,1,0,13,2,0,619,9.2
95,1,0,0,3,0,435,46.8
95,1,0,14,3,0,101,10.6
95,1,0,5,4,0,224,23.9
95,1,0,14,4,0,183,19.3
95,1,0,0,5,1,175,18.8
95,1,0,6,5,1,73,7.9
95,1,0,12,5,1,556,1.6
95,1,0,0,6,1,416,44.4
95,1,0,13,0,0,97,10.2
95,1,0,21,0,0,195,21.1
95,1,0,5,1,0,151,16.2
95,1,0,20,1,0,623,6.6
95,1,0,4,3,0,6,0.6
95,1,0,6,3,0,69,7.4
95,1,0,18,3,0,16,1.7
95,1,0,13,5,1,18,2.0
95,1,0,16,6,1,112,13.2
95,1,0,14,0,0,178,20.8
95,1,0,0,1,0,338,40.1
95,1,0,14,1,0,48,5.7
95,1,0,0,2,0,338,40.7
95,1,0,7,2,0,65,7.7
