userId,date,energy
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2018-04-01,374.3759214192
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2018-05-01,347.5747552467
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2018-06-01,447.91143021749997
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2018-07-01,239.5280076825
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2018-08-01,330.8530618464
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2018-09-01,415.5904529367
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2018-10-01,361.3038884682
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2018-11-01,535.892209155
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2018-12-01,384.9898011327
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-01-01,555.001699398
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-02-01,397.4832052929
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-03-01,492.01408144320004
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-04-01,291.6359581944
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-05-01,399.18065024879996
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-06-01,357.1290369633
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-07-01,221.364430368
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-08-01,219.7602160857
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-09-01,338.62274046330003
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-10-01,356.5139642796
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-11-01,459.6594188424
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2019-12-01,464.22830552130006
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2020-01-01,470.94756269819993
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2020-02-01,470.8786182366
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2020-03-01,652.3397619924001
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2020-04-01,482.96318349420005
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2020-05-01,562.4472903687
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2020-06-01,439.5263693754
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2020-07-01,254.883398784
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2020-08-01,321.2414561274
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2020-09-01,415.5785716479
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-03-01,1414.4490719775001
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-04-01,1239.9784729143
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-05-01,1169.4699497742
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-06-01,1182.9068480928
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-07-01,1195.7362178535
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-08-01,1206.7338842817
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-09-01,1304.1447574823999
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-10-01,1658.3225945793001
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-11-01,1489.6461828126
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2018-12-01,1659.8108778408
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-01-01,1765.3882006782
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-02-01,1440.4992138165
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-03-01,1602.2129136279
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-04-01,1466.5091779652998
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-05-01,1336.2891098493
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-06-01,1311.5862054087
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-07-01,1326.6741696027
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-08-01,1382.2319332656
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-09-01,1680.7537061043
c75b1ebcdc91225f565a0bef1d953876c7f24cfa46478c061fab7491393f8cea,2019-10-01,1778.1863287182
